ID,ton_emision,n_equip,raz_social,nombre,rubro,ciiu4,region,provincia,comuna,huso,coord_norte,coord_este,Latitud,Longitud,max_emision,orden,catg,x,y,pt_size,clr
11688,109.841,1,INDUSTRIA TEXTIL LA REINA SA,IND. TEXTIL LA REINA S.A. (2),Industria manufacturera,PREPARACIÓN DE HILATURA DE FIBRAS TEXTILES; TEJEDURA DE PRODUCTOS TEXTILES,Metropolitana,Santiago,Macul,19.0,6294259.0,349746.0,-33.48062415884567,-70.61718324784104,109.841,1,6,-7861068.880404954,-3959273.931171087,4.699033865569766,#98df8a
11709,2437.1182220000005,5,LABORATORIOS RECALCINE SA,LABORATORIOS RECALCINE S.A,Producción química,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS PRODUCTOS BOTÁNICOS",Metropolitana,Santiago,Quinta Normal,19.0,6300964.0,341294.0,-33.41895364276238,-70.70693288007345,1013.042222,1,14,-7871059.763763949,-3951046.001448597,7.7985715637329385,#f7b6d2
23485,325.92100000000005,5,VINA LUIS FELIPE EDWARDS LIMITADA,VIÑA LUIS FELIPE EDWARDS,Industria agropecuaria y silvicultura,"CULTIVO DE FRUTAS, NUECES, PLANTAS CUYAS HOJAS SE UTILIZAN PARA PREPARAR BEBIDAS Y ESPECIAS",Libertador Gral. Bernardo O'Higgins,Colchagua,Nancagua,19.0,6159946.0,301089.0,-34.68316965373981,-71.17128568784246,65.1842,1,3,-7922751.281873222,-4120908.0881664045,5.786655020711393,#ff7f0e
29391,96.7757,2,AGROINDUSTRIAL ARICA S A,AGROINDUSTRIAL ARICA SA,Producción de alimentos,"PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS",Arica y Parinacota,Arica,Arica,19.0,7957688.0,362656.0,-18.466676914342912,-70.30075436964725,75.4057,1,2,-7825844.178812135,-2092245.2701691713,4.572395929710608,#aec7e8
43423,20214.24656,2,ALIMENTOS AGROSUPER LIMITADA,PLANTA DE ALIMENTOS LO MIRANDA,Industria agropecuaria y silvicultura,ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES,Libertador Gral. Bernardo O'Higgins,Cachapoal,Doñihue,19.0,6213964.0,327646.0,-34.20110207692516,-70.87065348684932,18524.65968,1,3,-7889285.058342605,-4055837.1921285554,9.91414291004711,#ff7f0e
64566,54915.868,8,MINERA ESCONDIDA LIMITADA,MINA 0,Extracción de minerales,"EXTRACCIÓN DE MINERALES METALÍFEROS NO FERROSOS, EXCEPTO LOS MINERALES DE COBRE, URANIO Y TORIO",Antofagasta,Antofagasta,Antofagasta,19.0,7317468.0,486667.0,-24.25560211018663,-69.13134765539739,10804.968,1,7,-7695666.418851605,-2784585.4152054526,10.913557620343546,#d62728
65152,636.9848000000001,3,S Q M SALAR S A,FAENA SALAR DE ATACAMA,Extracción de minerales,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS N.C.P.,Antofagasta,El Loa,San Pedro Atacama,19.0,7393690.0,562079.0,-23.566001703334308,-68.39168396264887,511.37,1,7,-7613327.433216567,-2700611.9999970207,6.456745793435032,#d62728
65154,9570.96,3,S Q M SALAR S A,FAENA SALAR DEL CARMEN,Extracción de minerales,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS N.C.P.,Antofagasta,Antofagasta,Antofagasta,19.0,7385637.0,371447.0,-23.63481210810503,-70.26030314771069,5474.75,1,7,-7821341.169384191,-2708971.0955562694,9.166488792895564,#d62728
73045,665.6935,2,SOPRAVAL S A,SOPRAVAL SA,Industria agropecuaria y silvicultura,"PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS",Valparaíso,Quillota,Calera,19.0,6370324.0,296710.0,-32.78624143680276,-71.17074722122511,626.851,1,3,-7922691.34004357,-3866965.3392449133,6.500829354400959,#ff7f0e
75219,1500.277,3,INDUSTRIA DE ALIMENTOS DOS EN UNO SOCIEDAD ANONIMA,PLANTA BICENTENARIO,Producción de alimentos,SERVICIOS DE ALMACENAMIENTO Y DEPÓSITO,Metropolitana,Santiago,Cerrillos,19.0,6289005.0,341555.0,-33.52681080085416,-70.70623922624357,500.496,1,2,-7870982.54657282,-3965439.876692638,7.313405036708178,#aec7e8
