"Time stamp","System power generated | (kW)","AC inverter output power | (W)","DC inverter input power | (W)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Weather file ambient temperature | (C)","Weather file beam irradiance | (W/m2)","Weather file diffuse irradiance | (W/m2)","Weather file global horizontal irradiance | (W/m2)"
"Jan 9, 06:00 pm",171.307,171307,180254,27.5104,213.682,24,41.5,166.1,180
"Jan 9, 07:00 pm",29.6139,29613.9,35375.2,21.3021,42.2744,21.3,27.4,34.7,37.9
"Jan 9, 08:00 pm",0,0,0,18.7,0,18.7,0,0,0
"Jan 9, 09:00 pm",0,0,0,17,0,17,0,0,0
"Jan 9, 10:00 pm",0,0,0,15.7,0,15.7,0,0,0
"Jan 9, 11:00 pm",0,0,0,14.9,0,14.9,0,0,0
"Jan 10, 12:00 am",0,0,0,14.4,0,14.4,0,0,0
"Jan 10, 01:00 am",0,0,0,14.2,0,14.2,0,0,0
"Jan 10, 02:00 am",0,0,0,14,0,14,0,0,0
"Jan 10, 03:00 am",0,0,0,13.3,0,13.3,0,0,0
"Jan 10, 04:00 am",0,0,0,12.7,0,12.7,0,0,0
"Jan 10, 05:00 am",0,0,0,12,0,12,0,0,0
"Jan 10, 06:00 am",0,0,0,11.7,0,11.7,0,0,0
"Jan 10, 07:00 am",372.375,372375,387229,25.7126,443.237,15,707.9,36.3,186.5
"Jan 10, 08:00 am",691.941,691941,719612,50.0819,910.135,18.5,909.3,48,434.9
"Jan 10, 09:00 am",789.292,789292,821725,50.5613,1057.65,21.6,998.6,54.7,674.9
"Jan 10, 10:00 am",823.813,823813,858034,50.4777,1116.16,24.4,1046.6,59.2,881.3
"Jan 10, 11:00 am",833.333,833333,869544,50.8425,1140.43,26.8,1073.2,62,1036.3
"Jan 10, 12:00 pm",833.333,833333,869533,51.9826,1149.71,28.1,1086.6,63.6,1128
"Jan 10, 01:00 pm",833.333,833333,875372,50.2967,1150.31,29.1,1089.3,63.6,1148.5
"Jan 10, 02:00 pm",833.333,833333,876727,49.5385,1146.42,29.8,1082.2,62.5,1096.8
"Jan 10, 03:00 pm",833.333,833333,874994,48.0236,1131.77,28.9,1064,60.1,976.9
"Jan 10, 04:00 pm",826.021,826021,860357,46.6856,1097.63,27.8,1030,56.5,798.3
"Jan 10, 05:00 pm",774.279,774279,805952,44.8918,1007.61,26.5,969,51.2,575.2
"Jan 10, 06:00 pm",624.229,624229,648826,39.3686,781.304,24.8,848.8,43.1,328.2
"Jan 10, 07:00 pm",178.946,178946,188088,27.4603,223.56,21.9,525.9,26.6,89.4
"Jan 10, 08:00 pm",0,0,0,19.2,0,19.2,0,0,0
"Jan 10, 09:00 pm",0,0,0,16.9,0,16.9,0,0,0
"Jan 10, 10:00 pm",0,0,0,15.1,0,15.1,0,0,0
"Jan 10, 11:00 pm",0,0,0,13.9,0,13.9,0,0,0
"Jan 11, 12:00 am",0,0,0,13.7,0,13.7,0,0,0
"Jan 11, 01:00 am",0,0,0,13.1,0,13.1,0,0,0
"Jan 11, 02:00 am",0,0,0,12.4,0,12.4,0,0,0
"Jan 11, 03:00 am",0,0,0,11.5,0,11.5,0,0,0
"Jan 11, 04:00 am",0,0,0,10.5,0,10.5,0,0,0
"Jan 11, 05:00 am",0,0,0,9.6,0,9.6,0,0,0
"Jan 11, 06:00 am",0,0,0,11.1,0,11.1,0,0,0
"Jan 11, 07:00 am",369.861,369861,384631,25.2867,439.704,14.5,715.7,34.1,184.2
"Jan 11, 08:00 am",699.689,699689,727724,47.0152,908.867,18,913.6,44.4,431.1
"Jan 11, 09:00 am",790.484,790484,822979,49.3091,1053.73,21.2,1000.5,49.9,669.3
"Jan 11, 10:00 am",822.269,822269,856408,49.562,1109.8,24.1,1046.7,53.3,874.1
"Jan 11, 11:00 am",830.848,830848,865439,50.3043,1132.5,26.6,1072.4,55.3,1027.9
"Jan 11, 12:00 pm",833.333,833333,868785,50.2841,1140.73,25.8,1085.2,56.3,1118.8
"Jan 11, 01:00 pm",833.333,833333,876058,48.2057,1141.46,25.8,1087.8,56.5,1139.7
"Jan 11, 02:00 pm",833.333,833333,881768,46.3417,1138.21,25.6,1081,55.9,1089.2
"Jan 11, 03:00 pm",833.333,833333,879583,45.1908,1124.85,25.1,1063.4,54.3,971
"Jan 11, 04:00 pm",829.744,829744,864277,44.4134,1092.68,24.5,1030.6,51.5,794.3
"Jan 11, 05:00 pm",779.333,779333,811261,42.7276,1005.6,23.6,971.5,47.3,573.3
"Jan 11, 06:00 pm",629.665,629665,654502,37.8875,783.625,22.8,854.9,40.4,328
"Jan 11, 07:00 pm",182.557,182557,191792,26.0471,226.592,20.1,538.8,25.5,90
"Jan 11, 08:00 pm",0,0,0,17.7,0,17.7,0,0,0
"Jan 11, 09:00 pm",0,0,0,15.9,0,15.9,0,0,0
"Jan 11, 10:00 pm",0,0,0,14.5,0,14.5,0,0,0
"Jan 11, 11:00 pm",0,0,0,13.7,0,13.7,0,0,0
"Jan 12, 12:00 am",0,0,0,12.5,0,12.5,0,0,0
"Jan 12, 01:00 am",0,0,0,12.1,0,12.1,0,0,0
"Jan 12, 02:00 am",0,0,0,11.7,0,11.7,0,0,0
"Jan 12, 03:00 am",0,0,0,11.3,0,11.3,0,0,0
"Jan 12, 04:00 am",0,0,0,11,0,11,0,0,0
"Jan 12, 05:00 am",0,0,0,10.6,0,10.6,0,0,0
"Jan 12, 06:00 am",0,0,0,11.3,0,11.3,0,0,0
"Jan 12, 07:00 am",363.91,363910,378482,25.1842,432.65,14.6,712.4,33.4,181.1
"Jan 12, 08:00 am",244.324,244324,255227,30.6532,305.598,17.9,96.2,211.2,251.7
"Jan 12, 09:00 am",790.877,790877,823392,48.3988,1050.23,21,997.7,49.3,665.2
"Jan 12, 10:00 am",818.863,818863,852824,49.9402,1106.77,23.8,1044,52.9,870
"Jan 12, 11:00 am",829.362,829362,863875,50.1182,1129.54,26.1,1069.7,55.1,1024.2
"Jan 12, 12:00 pm",826.454,826454,860814,51.9695,1138.06,27.8,1082.6,56.4,1115.8
"Jan 12, 01:00 pm",829.846,829846,864384,50.9774,1139.02,29.1,1085.3,56.8,1137.4
"Jan 12, 02:00 pm",831.985,831985,866636,50.1191,1135.93,30,1078.5,56.3,1087.4
"Jan 12, 03:00 pm",829.67,829670,864199,49.094,1122.72,29.4,1060.9,54.7,969.8
"Jan 12, 04:00 pm",816.656,816656,850502,48.0093,1090.94,28.5,1028,52.1,793.5
"Jan 12, 05:00 pm",767.078,767078,798389,46.3087,1003.92,27.4,968.6,47.8,572.8
"Jan 12, 06:00 pm",619.333,619333,643715,41.6598,782.192,26.4,851.3,40.9,327.7
"Jan 12, 07:00 pm",179.318,179318,188470,29.7375,225.751,23.8,534.3,25.7,89.8
"Jan 12, 08:00 pm",0,0,0,21.4,0,21.4,0,0,0
"Jan 12, 09:00 pm",0,0,0,19.3,0,19.3,0,0,0
"Jan 12, 10:00 pm",0,0,0,17.7,0,17.7,0,0,0
"Jan 12, 11:00 pm",0,0,0,16.6,0,16.6,0,0,0
"Jan 13, 12:00 am",0,0,0,15.4,0,15.4,0,0,0
"Jan 13, 01:00 am",0,0,0,15.1,0,15.1,0,0,0
"Jan 13, 02:00 am",0,0,0,14.7,0,14.7,0,0,0
"Jan 13, 03:00 am",0,0,0,13.7,0,13.7,0,0,0
