Ton vapor,,,,consumo agua,,,consumo GN,,
Caldera Loos,Caldera Salcor,Caldera Visa,Desgasificador,Caldera Loos,Caldera Salcor,Caldera Visa,Caldera Loos,Caldera Salcor,Caldera Visa
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155.0,5.0,0.0,18.0,164.0,13.3,0.0,"10,813.0",679.0,0.0
280.0,14.0,0.0,25.0,295.0,16.9,0.0,"20,327.0","1,272.0",0.0
279.0,20.0,0.0,28.0,295.0,22.0,0.0,"20,162.0","1,671.0",0.0
287.0,29.0,0.0,31.0,302.0,32.8,0.0,"20,766.0","2,389.0",0.0
268.0,19.0,0.0,29.0,286.0,21.1,0.0,"19,339.0","1,585.0",0.0
159.0,2.0,0.0,20.0,172.0,2.8,0.0,"11,387.0",240.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,1.0,0.0,17.0,130.0,0.7,0.0,"8,711.0",239.0,0.0
263.0,11.0,0.0,30.0,279.0,12.5,0.0,"19,161.0","1,014.0",0.0
255.0,13.0,0.0,23.0,268.0,15.0,0.0,"18,416.0","1,149.0",0.0
269.0,18.0,0.0,22.0,284.0,20.3,0.0,"19,551.0","1,519.0",0.0
260.0,12.0,0.0,22.0,275.0,14.6,0.0,"18,818.0","1,127.0",0.0
147.0,1.0,0.0,14.0,157.0,0.3,0.0,"10,405.0",80.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155.0,2.0,0.0,17.0,165.0,2.0,0.0,"10,959.0",368.0,0.0
244.0,6.0,0.0,23.0,257.0,6.8,0.0,"17,445.0",562.0,0.0
236.0,7.0,0.0,20.0,251.0,8.2,0.0,"16,811.0",695.0,0.0
274.0,14.0,0.0,28.0,288.0,16.6,0.0,"19,530.0","1,239.0",0.0
271.0,11.0,0.0,22.0,288.0,13.0,0.0,"19,359.0",984.0,0.0
149.0,0.0,0.0,14.0,161.0,0.2,0.0,"10,394.0",71.0,0.0
21.0,0.0,0.0,3.0,25.0,0.0,0.0,"1,754.0",16.0,0.0
157.0,6.0,0.0,19.0,167.0,6.4,0.0,"10,748.0",646.0,0.0
298.0,18.0,0.0,31.0,315.0,20.9,0.0,"21,364.0","1,549.0",0.0
244.0,17.0,0.0,19.0,258.0,18.5,0.0,"17,571.0","1,387.0",15.0
269.0,14.0,0.0,21.0,284.0,15.6,0.0,"19,320.0","1,171.0",192.0
276.0,9.0,0.0,15.0,291.0,10.4,0.0,"19,824.0",848.0,0.0
